Continent,Country,Vote
Africa,Algeria,Abstained
Africa,Angola,Abstained
Africa,Burundi,Abstained
Africa,Central African Republic,Abstained
Africa,Congo,Abstained
Africa,Equatorial Guinea,Abstained
Africa,Madagascar,Abstained
Africa,Mali,Abstained
Africa,Mozambique,Abstained
Africa,Namibia,Abstained
Africa,Senegal,Abstained
Africa,South Africa,Abstained
Africa,South Sudan,Abstained
Africa,Sudan,Abstained
Africa,Tanzania,Abstained
Africa,Uganda,Abstained
Africa,Zimbabwe,Abstained
Africa,Eritrea,Against
Africa,Benin,In Favor
Africa,Botswana,In Favor
Africa,Cape Verde,In Favor
Africa,Chad,In Favor
Africa,Comoros,In Favor
Africa,"Congo, Democratic Republic of",In Favor
Africa,Djibouti,In Favor
Africa,Egypt,In Favor
Africa,Gabon,In Favor
Africa,Gambia,In Favor
Africa,Ghana,In Favor
Africa,Ivory Coast,In Favor
Africa,Kenya,In Favor
Africa,Lesotho,In Favor
Africa,Liberia,In Favor
Africa,Libya,In Favor
Africa,Malawi,In Favor
Africa,Mauritania,In Favor
Africa,Mauritius,In Favor
Africa,Niger,In Favor
Africa,Nigeria,In Favor
Africa,Rwanda,In Favor
Africa,Sao Tome and Principe,In Favor
Africa,Seychelles,In Favor
Africa,Sierra Leone,In Favor
Africa,Somalia,In Favor
Africa,Tunisia,In Favor
Africa,Zambia,In Favor
Africa,Burkina,No Vote
Africa,Cameroon,No Vote
Africa,Ethiopia,No Vote
Africa,Guinea,No Vote
Africa,Guinea-Bissau,No Vote
Africa,Morocco,No Vote
Africa,Swaziland,No Vote
Africa,Togo,No Vote